시점,지역,합계출산율(명)
2010,울산,1.369
2010,세종,-
2010,경기,1.309
2010,강원,1.313
2010,충북,1.402
2010,충남,1.479
2010,전북,1.374
2010,전남,1.537
2010,경북,1.377
2010,경남,1.413
2010,제주,1.463
2011,서울,1.014
2011,부산,1.078
2011,대구,1.146
2011,인천,1.232
2011,광주,1.234
2011,대전,1.261
2011,울산,1.393
2011,세종,-
2011,경기,1.314
2011,강원,1.338
2011,충북,1.428
2011,충남,1.496
2011,전북,1.405
2011,전남,1.568
2011,경북,1.434
2011,경남,1.446
2011,제주,1.487
2012,서울,1.059
2012,부산,1.135
2012,대구,1.217
2012,인천,1.301
2012,광주,1.295
2012,대전,1.315
2012,울산,1.481
2012,세종,1.597
2012,경기,1.355
2012,강원,1.374
2012,충북,1.485
2012,충남,1.571
2012,전북,1.440
2012,전남,1.642
2012,경북,1.489
2012,경남,1.503
2012,제주,1.598
2013,서울,0.968
2013,부산,1.049
2013,대구,1.127
2013,인천,1.195
2013,광주,1.170
2013,대전,1.234
2013,울산,1.391
2013,세종,1.435
2013,경기,1.226
2013,강원,1.249
2013,충북,1.365
2013,충남,1.442
2013,전북,1.320
2013,전남,1.518
2013,경북,1.379
2013,경남,1.367
2013,제주,1.427
2014,서울,0.983
2014,부산,1.090
2014,대구,1.169
2014,인천,1.212
2014,광주,1.199
2014,대전,1.250
2014,울산,1.437
2014,세종,1.354
2014,경기,1.241
2014,강원,1.248
2014,충북,1.363
2014,충남,1.421
2014,전북,1.329
2014,전남,1.497
2014,경북,1.408
2014,경남,1.409
2014,제주,1.481
2015,서울,1.001
2015,부산,1.139
2015,대구,1.216
2015,인천,1.216
2015,광주,1.207
2015,대전,1.277
2015,울산,1.486
2015,세종,1.893
2015,경기,1.272
2015,강원,1.311
2015,충북,1.414
2015,충남,1.480
2015,전북,1.352
2015,전남,1.549
2015,경북,1.464
2015,경남,1.437
2015,제주,1.477
2016,서울,0.940
2016,부산,1.095
2016,대구,1.186
2016,인천,1.144
2016,광주,1.168
2016,대전,1.192
2016,울산,1.418
2016,세종,1.821
2016,경기,1.194
2016,강원,1.237
2016,충북,1.358
2016,충남,1.395
2016,전북,1.251
2016,전남,1.466
2016,경북,1.396
2016,경남,1.358
2016,제주,1.432
2017,서울,0.836
2017,부산,0.976
2017,대구,1.067
2017,인천,1.007
2017,광주,1.053
2017,대전,1.075
2017,울산,1.261
2017,세종,1.668
2017,경기,1.069
2017,강원,1.123
2017,충북,1.235
2017,충남,1.276
2017,전북,1.151
2017,전남,1.325
2017,경북,1.256
2017,경남,1.227
2017,제주,1.305
2018,서울,0.761
2018,부산,0.899
2018,대구,0.987
2018,인천,1.006
2018,광주,0.972
2018,대전,0.952
2018,울산,1.131
2018,세종,1.566
2018,경기,1.002
2018,강원,1.067
2018,충북,1.172
2018,충남,1.186
2018,전북,1.044
2018,전남,1.240
2018,경북,1.167
2018,경남,1.122
2018,제주,1.220
2019,서울,0.717
2019,부산,0.827
2019,대구,0.932
2019,인천,0.940
2019,광주,0.913
2019,대전,0.883
2019,울산,1.084
2019,세종,1.472
2019,경기,0.943
2019,강원,1.082
2019,충북,1.050
2019,충남,1.112
2019,전북,0.971
2019,전남,1.234
2019,경북,1.089
2019,경남,1.046
2019,제주,1.145
2020,서울,0.642
2020,부산,0.747
2020,대구,0.807
2020,인천,0.829
2020,광주,0.811
2020,대전,0.805
2020,울산,0.984
2020,세종,1.277
2020,경기,0.878
2020,강원,1.036
2020,충북,0.983
2020,충남,1.029
2020,전북,0.909
2020,전남,1.145
2020,경북,1.003
2020,경남,0.945
2020,제주,1.021
2021,서울,0.626
2021,부산,0.728
2021,대구,0.785
2021,인천,0.778
2021,광주,0.896
2021,대전,0.810
2021,울산,0.940
2021,세종,1.277
2021,경기,0.853
2021,강원,0.979
2021,충북,0.949
2021,충남,0.963
2021,전북,0.850
2021,전남,1.017
2021,경북,0.966
2021,경남,0.903
2021,제주,0.951
2022,서울,0.593
2022,부산,0.723
2022,대구,0.757
2022,인천,0.747
2022,광주,0.844
2022,대전,0.842
2022,울산,0.848
2022,세종,1.121
2022,경기,0.839
2022,강원,0.968
2022,충북,0.871
2022,충남,0.909
2022,전북,0.817
2022,전남,0.969
2022,경북,0.930
2022,경남,0.838
2022,제주,0.919
2023,서울,0.552
2023,부산,0.664
2023,대구,0.702
2023,인천,0.694
2023,광주,0.706
2023,대전,0.787
2023,울산,0.814
2023,세종,0.971
2023,경기,0.766
2023,강원,0.893
2023,충북,0.886
2023,충남,0.842
2023,전북,0.780
2023,전남,0.972
2023,경북,0.860
2023,경남,0.799
2023,제주,0.827
