지역별,시점,합계출산율,인터넷이용률
세종,2015,1.893,
울산,2015,1.486,95.8
인천,2015,1.216,85.7
전남,2015,1.549,75.5
전북,2015,1.352,78.3
제주,2015,1.477,85.9
충남,2015,1.48,76.0
충북,2015,1.414,77.8
충청,2015,,81.5
강원,2016,1.237,74.6
경기,2016,1.194,88.8
경남,2016,1.358,90.8
경북,2016,1.396,86.6
광주,2016,1.168,91.4
대구,2016,1.186,91.7
대전,2016,1.192,90.6
부산,2016,1.095,92.7
서울,2016,0.94,87.9
세종,2016,1.821,
울산,2016,1.418,96.6
인천,2016,1.144,88.1
전남,2016,1.466,81.2
전북,2016,1.251,85.6
제주,2016,1.432,86.3
충남,2016,1.395,84.7
충북,2016,1.358,87.1
충청,2016,,91.0
강원,2017,1.123,83.1
경기,2017,1.069,90.3
경남,2017,1.227,91.0
경북,2017,1.256,89.0
광주,2017,1.053,93.9
대구,2017,1.067,93.6
대전,2017,1.075,91.8
부산,2017,0.976,93.3
서울,2017,0.836,90.5
세종,2017,1.668,
울산,2017,1.261,97.0
인천,2017,1.007,89.0
전남,2017,1.325,83.6
전북,2017,1.151,89.4
제주,2017,1.305,86.7
충남,2017,1.276,89.0
충북,2017,1.235,87.8
충청,2017,,92.4
강원,2018,1.067,83.7
경기,2018,1.002,91.7
경남,2018,1.122,90.7
경북,2018,1.167,92.3
광주,2018,0.972,94.5
대구,2018,0.987,94.9
대전,2018,0.952,94.1
부산,2018,0.899,92.8
서울,2018,0.761,91.4
세종,2018,1.566,
울산,2018,1.131,95.2
인천,2018,1.006,91.5
전남,2018,1.24,85.3
전북,2018,1.044,90.2
제주,2018,1.22,88.9
충남,2018,1.186,92.2
충북,2018,1.172,91.1
충청,2018,,95.5
강원,2019,1.082,84.9
경기,2019,0.943,91.1
경남,2019,1.046,88.7
경북,2019,1.089,94.4
광주,2019,0.913,91.5
대구,2019,0.932,98.2
대전,2019,0.883,94.7
부산,2019,0.827,92.8
서울,2019,0.717,92.2
세종,2019,1.472,
울산,2019,1.084,93.7
인천,2019,0.94,93.2
전남,2019,1.234,84.3
전북,2019,0.971,85.1
제주,2019,1.145,88.8
충남,2019,1.112,95.8
충북,2019,1.05,95.6
충청,2019,,97.9
강원,2020,1.036,80.6
경기,2020,0.878,92.3
경남,2020,0.945,89.5
경북,2020,1.003,93.3
광주,2020,0.811,92.0
대구,2020,0.807,96.5
대전,2020,0.805,94.1
부산,2020,0.747,93.0
서울,2020,0.642,92.3
세종,2020,1.277,
울산,2020,0.984,95.9
인천,2020,0.829,91.4
전남,2020,1.145,86.0
전북,2020,0.909,87.4
제주,2020,1.021,89.1
충남,2020,1.029,92.3
충북,2020,0.983,95.0
충청,2020,,99.1
강원,2021,0.979,82.0
경기,2021,0.853,94.3
경남,2021,0.903,94.9
경북,2021,0.966,91.4
광주,2021,0.896,95.2
대구,2021,0.785,93.5
대전,2021,0.81,92.1
부산,2021,0.728,96.1
서울,2021,0.626,93.2
세종,2021,1.277,
울산,2021,0.94,97.9
인천,2021,0.778,93.9
전남,2021,1.017,86.6
전북,2021,0.85,89.7
제주,2021,0.951,87.8
충남,2021,0.963,91.1
충북,2021,0.949,91.5
충청,2021,,89.4
강원,2022,0.968,83.1
경기,2022,0.839,93.0
경남,2022,0.838,94.0
경북,2022,0.93,93.9
광주,2022,0.844,98.6
대구,2022,0.757,95.6
대전,2022,0.842,93.8
부산,2022,0.723,95.5
서울,2022,0.593,92.0
세종,2022,1.121,
울산,2022,0.848,97.9
인천,2022,0.747,93.6
전남,2022,0.969,85.7
전북,2022,0.817,92.7
제주,2022,0.919,96.0
충남,2022,0.909,92.3
충북,2022,0.871,93.5
충청,2022,,89.7
강원,2023,0.893,90.9
경기,2023,0.766,93.2
경남,2023,0.799,94.7
경북,2023,0.86,94.9
광주,2023,0.706,96.7
대구,2023,0.702,98.4
대전,2023,0.787,96.8
부산,2023,0.664,94.8
서울,2023,0.552,93.2
세종,2023,0.971,
울산,2023,0.814,97.2
인천,2023,0.694,93.6
전남,2023,0.972,90.6
전북,2023,0.78,93.6
제주,2023,0.827,89.9
충남,2023,0.842,95.2
충북,2023,0.886,95.4
충청,2023,,95.6
