시점,지역별,총인구수,출생아수,합계출산율,많이 좋아짐,약간 좋아짐,변화없음,약간 나빠짐,많이 나빠짐,스트레스인지율,음주율,흡연율,비만유병률
2022,부산광역시,3295760.0,14134,0.723,,,,,,22.8,59.2,18.3,
2022,서울,9417469.0,42602,0.593,,,,,,25.7,59.4,16.3,
2022,세종특별자치시,382589.0,3209,1.121,,,,,,20.1,58.1,15.1,
2022,울산광역시,1110516.0,5399,0.848,,,,,,21.9,62.0,19.8,
2022,인천광역시,2989125.0,14464,0.747,,,,,,26.3,58.1,20.3,
2022,전라남도,1771431.0,7888,0.969,,,,,,21.5,56.0,19.4,
2022,전북특별자치도,1774248.0,7032,0.817,,,,,,24.9,55.3,20.6,
2022,제주특별자치도,676375.0,3599,0.919,,,,,,25.0,57.3,21.9,
2022,충청남도,2193214.0,10221,0.909,,,,,,25.4,57.9,20.5,
2022,충청북도,1624993.0,7452,0.871,,,,,,25.2,59.9,20.7,
2023,강원특별자치도,1528014.0,6688,0.893,7.5,35.4,48.6,6.8,1.8,27.2,60.2,22.3,
2023,경기도,13815367.0,68817,0.766,5.9,29.9,49.6,10.9,3.7,27.7,59.0,19.2,
2023,경상남도,3271148.0,13049,0.799,5.6,36.5,46.1,9.3,2.7,24.5,57.8,19.1,
2023,경상북도,2589880.0,10186,0.860,5.4,39.9,48.0,5.3,1.5,23.9,57.5,21.3,
2023,광주광역시,1457090.0,6172,0.706,7.6,33.7,47.2,9.5,2.1,24.7,59.5,18.3,
2023,대구광역시,2379188.0,9410,0.702,7.9,37.5,47.4,4.9,2.3,23.8,57.9,19.4,
2023,대전광역시,1470336.0,7194,0.787,10.3,31.3,44.9,11.3,2.2,28.3,59.4,19.0,
2023,부산광역시,3279604.0,12866,0.664,9.5,31.5,48.8,8.5,1.7,23.9,59.6,18.8,
2023,서울,9384512.0,39456,0.552,6.1,31.2,49.2,10.9,2.6,27.1,60.7,17.9,
2023,세종특별자치시,386261.0,2761,0.971,8.2,34.7,40.3,12.8,3.9,25.8,57.2,13.2,
2023,울산광역시,1107432.0,5082,0.814,4.5,29.3,51.0,13.4,1.8,25.8,61.0,19.7,
2023,인천광역시,3025950.0,13659,0.694,6.9,29.6,51.1,9.9,2.5,27.0,59.5,19.3,
2023,전라남도,1776668.0,7828,0.972,6.6,36.7,48.7,6.2,1.8,25.6,55.5,20.2,
2023,전북특별자치도,1768491.0,6622,0.780,6.1,31.1,48.5,11.9,2.4,26.5,54.1,20.6,
2023,제주특별자치도,676767.0,3222,0.827,7.0,33.6,47.6,9.2,2.6,23.5,53.8,19.1,
2023,충청남도,2216332.0,9436,0.842,8.2,36.2,46.1,8.1,1.4,27.7,58.4,22.2,
2023,충청북도,1641481.0,7580,0.886,7.1,30.5,50.5,9.0,2.9,26.3,62.2,21.9,
