"시점","지역별",수술인원
"2011","울산광역시",36862
"2011","경기도",338093
"2011","강원특별자치도",42356
"2011","충청북도",46843
"2011","충청남도",60917
"2011","전북특별자치도",54987
"2011","전라남도",58166
"2011","경상북도",76832
"2011","경상남도",99692
"2011","제주특별자치도",14315
"2012","서울",270958
"2012","부산광역시",121829
"2012","대구광역시",69875
"2012","인천광역시",82080
"2012","광주광역시",43139
"2012","대전광역시",41554
"2012","울산광역시",34095
"2012","세종특별자치시",3521
"2012","경기도",333152
"2012","강원특별자치도",47112
"2012","충청북도",51180
"2012","충청남도",66762
"2012","전북특별자치도",63788
"2012","전라남도",70203
"2012","경상북도",87551
"2012","경상남도",109474
"2012","제주특별자치도",16501
"2013","서울",260847
"2013","부산광역시",120189
"2013","대구광역시",69073
"2013","인천광역시",82035
"2013","광주광역시",42083
"2013","대전광역시",40602
"2013","울산광역시",34128
"2013","세종특별자치시",3694
"2013","경기도",328804
"2013","강원특별자치도",46965
"2013","충청북도",51323
"2013","충청남도",68917
"2013","전북특별자치도",63630
"2013","전라남도",71981
"2013","경상북도",87457
"2013","경상남도",108223
"2013","제주특별자치도",16464
"2014","서울",260058
"2014","부산광역시",120817
"2014","대구광역시",68644
"2014","인천광역시",82815
"2014","광주광역시",42013
"2014","대전광역시",40539
"2014","울산광역시",34048
"2014","세종특별자치시",4590
"2014","경기도",329869
"2014","강원특별자치도",47170
"2014","충청북도",51287
"2014","충청남도",68243
"2014","전북특별자치도",63924
"2014","전라남도",71254
"2014","경상북도",86600
"2014","경상남도",108357
"2014","제주특별자치도",16815
"2015","서울",254944
"2015","부산광역시",119230
"2015","대구광역시",68402
"2015","인천광역시",83102
"2015","광주광역시",41614
"2015","대전광역시",39498
"2015","울산광역시",34212
"2015","세종특별자치시",5754
"2015","경기도",329788
"2015","강원특별자치도",47107
"2015","충청북도",50499
"2015","충청남도",68882
"2015","전북특별자치도",63493
"2015","전라남도",70754
"2015","경상북도",87253
"2015","경상남도",109460
"2015","제주특별자치도",17400
"2016","서울",259827
"2016","부산광역시",121970
"2016","대구광역시",69649
"2016","인천광역시",84974
"2016","광주광역시",41196
"2016","대전광역시",40892
"2016","울산광역시",34966
"2016","세종특별자치시",6700
"2016","경기도",345014
"2016","강원특별자치도",48741
"2016","충청북도",51456
"2016","충청남도",71439
"2016","전북특별자치도",65399
"2016","전라남도",72233
"2016","경상북도",89239
"2016","경상남도",110253
"2016","제주특별자치도",18806
"2017","서울",263344
"2017","부산광역시",124608
"2017","대구광역시",69920
"2017","인천광역시",86683
"2017","광주광역시",41305
"2017","대전광역시",41609
"2017","울산광역시",35341
"2017","세종특별자치시",6923
"2017","경기도",353402
"2017","강원특별자치도",48342
"2017","충청북도",53040
"2017","충청남도",71423
"2017","전북특별자치도",65347
"2017","전라남도",70650
"2017","경상북도",89982
"2017","경상남도",110622
"2017","제주특별자치도",19281
"2018","서울",266533
"2018","부산광역시",126795
"2018","대구광역시",72021
"2018","인천광역시",90544
"2018","광주광역시",41251
"2018","대전광역시",41655
"2018","울산광역시",34831
"2018","세종특별자치시",8107
"2018","경기도",367057
"2018","강원특별자치도",48976
"2018","충청북도",53089
"2018","충청남도",72868
"2018","전북특별자치도",65964
"2018","전라남도",70853
"2018","경상북도",90246
"2018","경상남도",109814
"2018","제주특별자치도",19826
"2019","서울",284068
"2019","부산광역시",131754
"2019","대구광역시",75548
"2019","인천광역시",94205
"2019","광주광역시",43189
"2019","대전광역시",44009
"2019","울산광역시",35978
"2019","세종특별자치시",9134
"2019","경기도",392793
"2019","강원특별자치도",52035
"2019","충청북도",55986
"2019","충청남도",76397
"2019","전북특별자치도",68720
"2019","전라남도",74626
"2019","경상북도",93359
"2019","경상남도",113260
"2019","제주특별자치도",20563
"2020","서울",273217
"2020","부산광역시",127807
"2020","대구광역시",70830
"2020","인천광역시",91027
"2020","광주광역시",41676
"2020","대전광역시",41712
"2020","울산광역시",34394
"2020","세종특별자치시",8992
"2020","경기도",385556
"2020","강원특별자치도",48687
"2020","충청북도",53332
"2020","충청남도",70644
"2020","전북특별자치도",66022
"2020","전라남도",70102
"2020","경상북도",85493
"2020","경상남도",109657
"2020","제주특별자치도",19437
"2021","서울",283350
"2021","부산광역시",134591
"2021","대구광역시",75772
"2021","인천광역시",95041
"2021","광주광역시",43949
"2021","대전광역시",43703
"2021","울산광역시",35309
"2021","세종특별자치시",9575
"2021","경기도",409156
"2021","강원특별자치도",51767
"2021","충청북도",55297
"2021","충청남도",74896
"2021","전북특별자치도",67152
"2021","전라남도",73692
"2021","경상북도",92162
"2021","경상남도",116085
"2021","제주특별자치도",20043
"2022","서울",281945
"2022","부산광역시",129471
"2022","대구광역시",74506
"2022","인천광역시",94855
"2022","광주광역시",43591
"2022","대전광역시",44153
"2022","울산광역시",34612
"2022","세종특별자치시",10077
"2022","경기도",412095
"2022","강원특별자치도",52612
"2022","충청북도",55541
"2022","충청남도",75137
"2022","전북특별자치도",65846
"2022","전라남도",73281
"2022","경상북도",91023
"2022","경상남도",113879
"2022","제주특별자치도",19568
