"시점","시도별",데이터
"2022","전북특별자치도",1024
"2022","전라남도",999
"2022","경상북도",1463
"2022","경상남도",2123
"2022","제주특별자치도",451
"2023","서울특별시",4431
"2023","부산광역시",1447
"2023","대구광역시",1079
"2023","인천광역시",1652
"2023","광주광역시",878
"2023","대전광역시",916
"2023","울산광역시",612
"2023","세종특별자치시",314
"2023","경기도",8903
"2023","강원특별자치도",847
"2023","충청북도",921
"2023","충청남도",1421
"2023","전북특별자치도",944
"2023","전라남도",952
"2023","경상북도",1310
"2023","경상남도",1904
"2023","제주특별자치도",423
