"지역별","특성별(1)","특성별(2)",시점,매우효과있음,약간효과있음,보통,별로효과없음,전혀효과없음,모르겠음
"인천광역시","전체","계",2022,12.3,28.2,38.2,12.8,3.3,5.3
"광주광역시","전체","계",2008,7.2,29.4,36.1,17.8,2.9,6.6
"광주광역시","전체","계",2010,5.7,26.0,38.1,19.7,4.5,6.1
"광주광역시","전체","계",2012,7.1,26.2,40.6,18.2,5.0,3.0
"광주광역시","전체","계",2014,7.1,27.9,38.4,17.7,5.0,3.9
"광주광역시","전체","계",2016,7.7,24.4,43.3,17.0,4.4,3.2
"광주광역시","전체","계",2018,8.2,29.8,36.9,15.1,5.0,5.0
"광주광역시","전체","계",2020,10.6,32.2,34.6,15.3,3.6,3.7
"광주광역시","전체","계",2022,13.1,28.7,35.3,13.6,4.4,5.0
"대전광역시","전체","계",2008,4.4,20.9,45.0,21.4,4.0,4.3
"대전광역시","전체","계",2010,9.9,26.7,38.4,17.7,3.4,4.0
"대전광역시","전체","계",2012,6.7,24.4,36.4,19.4,5.8,7.5
"대전광역시","전체","계",2014,10.5,32.1,34.5,17.3,3.7,1.8
"대전광역시","전체","계",2016,9.2,29.8,36.5,17.3,4.8,2.5
"대전광역시","전체","계",2018,12.3,26.2,37.1,16.9,4.1,3.4
"대전광역시","전체","계",2020,10.1,32.7,35.2,14.2,4.4,3.5
"대전광역시","전체","계",2022,13.1,34.6,33.0,14.3,2.9,2.1
"울산광역시","전체","계",2008,4.4,19.7,40.8,22.6,6.3,6.1
"울산광역시","전체","계",2010,5.3,27.1,40.9,16.7,5.5,4.5
"울산광역시","전체","계",2012,3.8,24.2,43.2,20.7,4.2,3.9
"울산광역시","전체","계",2014,4.9,23.1,45.3,19.0,4.4,3.4
"울산광역시","전체","계",2016,6.2,23.0,38.5,21.5,4.5,6.3
"울산광역시","전체","계",2018,5.0,23.3,40.2,20.1,5.2,6.3
"울산광역시","전체","계",2020,8.6,29.3,38.5,14.0,4.9,4.6
"울산광역시","전체","계",2022,11.5,30.4,35.4,15.9,3.8,3.0
"세종특별자치시","전체","계",2016,16.0,27.6,34.1,15.5,4.0,2.8
"세종특별자치시","전체","계",2018,7.8,29.0,36.7,18.5,5.3,2.6
"세종특별자치시","전체","계",2020,13.2,32.2,31.9,14.5,5.5,2.7
"세종특별자치시","전체","계",2022,13.6,33.2,34.2,13.6,2.4,3.0
"경기도","전체","계",2008,5.0,23.4,39.3,22.4,5.7,4.3
"경기도","전체","계",2010,5.0,23.5,40.3,20.3,6.3,4.5
"경기도","전체","계",2012,5.6,26.7,38.0,19.5,6.0,4.2
"경기도","전체","계",2014,6.2,28.3,38.7,17.6,5.2,4.0
"경기도","전체","계",2016,5.6,26.3,39.6,19.5,4.8,4.2
"경기도","전체","계",2018,5.7,27.2,40.4,19.0,5.0,2.7
"경기도","전체","계",2020,9.7,26.4,38.7,17.0,4.3,3.9
"경기도","전체","계",2022,10.1,28.8,38.5,13.5,4.6,4.6
"강원특별자치도","전체","계",2008,6.2,26.1,37.5,18.3,3.7,8.1
"강원특별자치도","전체","계",2010,7.8,27.4,34.0,18.5,2.9,9.4
"강원특별자치도","전체","계",2012,8.2,27.5,37.0,15.4,4.4,7.5
"강원특별자치도","전체","계",2014,7.2,29.4,36.6,17.1,4.2,5.5
"강원특별자치도","전체","계",2016,9.6,27.1,34.9,16.9,4.8,6.7
"강원특별자치도","전체","계",2018,9.2,30.6,35.6,14.8,3.6,6.2
"강원특별자치도","전체","계",2020,14.3,30.4,35.6,11.6,2.9,5.3
"강원특별자치도","전체","계",2022,12.1,35.8,34.5,11.1,2.1,4.3
"충청북도","전체","계",2008,6.0,23.2,37.0,16.9,4.9,12.0
"충청북도","전체","계",2010,5.6,27.7,40.9,17.0,4.3,4.4
"충청북도","전체","계",2012,9.9,26.2,36.7,15.3,5.4,6.5
"충청북도","전체","계",2014,8.6,27.3,37.4,15.0,4.2,7.4
"충청북도","전체","계",2016,8.8,25.1,41.4,16.2,4.9,3.7
"충청북도","전체","계",2018,12.9,28.4,35.3,14.7,4.6,4.1
"충청북도","전체","계",2020,11.6,30.2,34.6,13.9,3.0,6.7
"충청북도","전체","계",2022,11.8,32.9,37.0,12.9,2.4,2.9
"충청남도","전체","계",2008,10.2,30.2,34.8,14.0,2.8,7.9
"충청남도","전체","계",2010,11.0,32.9,32.8,14.6,2.5,6.2
"충청남도","전체","계",2012,11.1,27.6,34.0,17.1,5.2,5.1
"충청남도","전체","계",2014,9.6,26.3,34.0,18.6,4.8,6.7
"충청남도","전체","계",2016,10.0,31.9,36.2,14.1,3.7,4.2
"충청남도","전체","계",2018,11.7,28.7,32.7,14.9,4.4,7.5
"충청남도","전체","계",2020,15.1,33.9,32.1,12.5,2.9,3.5
"충청남도","전체","계",2022,14.5,33.0,35.1,9.2,2.4,5.8
"전북특별자치도","전체","계",2008,4.7,26.4,41.1,18.7,3.5,5.6
"전북특별자치도","전체","계",2010,8.7,29.9,35.2,18.8,2.7,4.8
"전북특별자치도","전체","계",2012,12.4,32.3,35.4,14.8,2.1,3.0
"전북특별자치도","전체","계",2014,9.9,32.6,35.8,15.1,3.1,3.4
"전북특별자치도","전체","계",2016,10.5,32.4,35.9,15.5,3.8,2.0
"전북특별자치도","전체","계",2018,8.3,33.1,36.7,14.4,3.5,4.0
"전북특별자치도","전체","계",2020,15.5,31.8,34.9,12.5,3.4,2.0
"전북특별자치도","전체","계",2022,15.4,34.6,31.5,12.4,3.8,2.4
"전라남도","전체","계",2008,8.2,26.9,43.6,15.0,2.8,3.6
"전라남도","전체","계",2010,13.3,24.7,33.2,16.5,4.1,8.2
"전라남도","전체","계",2012,11.1,33.4,33.8,12.4,3.2,6.1
"전라남도","전체","계",2014,8.3,30.0,38.5,15.0,3.1,5.2
"전라남도","전체","계",2016,10.7,25.7,37.5,12.8,3.7,9.6
"전라남도","전체","계",2018,12.6,30.0,31.7,13.6,4.3,7.9
"전라남도","전체","계",2020,11.6,29.8,35.1,14.7,2.3,6.5
"전라남도","전체","계",2022,13.0,33.1,34.3,10.7,3.3,5.6
"경상북도","전체","계",2008,6.0,26.9,40.0,16.3,3.3,7.5
"경상북도","전체","계",2010,7.7,26.0,36.7,18.3,4.0,7.4
"경상북도","전체","계",2012,6.1,32.9,37.6,16.1,3.3,3.9
"경상북도","전체","계",2014,9.1,29.3,41.2,14.5,2.4,3.4
"경상북도","전체","계",2016,7.4,27.9,41.7,15.7,3.9,3.4
"경상북도","전체","계",2018,7.8,31.0,35.9,16.7,3.7,4.9
"경상북도","전체","계",2020,11.1,31.4,36.6,12.9,4.2,3.8
"경상북도","전체","계",2022,13.0,32.3,32.2,13.6,3.8,5.1
"경상남도","전체","계",2008,6.1,26.3,38.1,18.1,5.0,6.4
"경상남도","전체","계",2010,9.4,27.2,34.8,17.8,3.8,7.0
"경상남도","전체","계",2012,10.0,24.6,36.3,19.2,4.6,5.4
"경상남도","전체","계",2014,7.1,30.7,37.6,17.4,4.4,2.8
"경상남도","전체","계",2016,7.9,30.0,37.8,15.6,3.8,4.9
"경상남도","전체","계",2018,7.9,27.1,37.6,18.5,4.7,4.1
"경상남도","전체","계",2020,11.8,27.8,38.7,14.0,3.9,3.8
"경상남도","전체","계",2022,10.7,34.3,36.0,13.0,3.4,2.7
"제주특별자치도","전체","계",2008,6.3,22.7,41.9,16.6,3.6,9.0
"제주특별자치도","전체","계",2010,11.4,27.2,41.7,12.9,2.5,4.2
"제주특별자치도","전체","계",2012,10.4,26.1,40.1,15.7,3.4,4.3
"제주특별자치도","전체","계",2014,10.3,31.7,36.4,14.1,2.8,4.7
"제주특별자치도","전체","계",2016,8.3,26.1,40.0,17.5,3.8,4.2
"제주특별자치도","전체","계",2018,7.8,31.2,39.6,13.1,4.3,4.1
"제주특별자치도","전체","계",2020,14.8,32.6,33.5,11.1,2.7,5.4
"제주특별자치도","전체","계",2022,13.1,27.6,36.2,14.6,4.1,4.4
