"지역별","시점","사교육참여율"
"전북특별자치도","2014",59.4
"전북특별자치도","2015",60.6
"전북특별자치도","2016",60.9
"전북특별자치도","2017",64.6
"전북특별자치도","2018",65.5
"전북특별자치도","2019",68.3
"전북특별자치도","2020",62.8
"전북특별자치도","2021",69.8
"전북특별자치도","2022",70.8
"전북특별자치도","2023",69.8
"전라남도","2009",67.7
"전라남도","2010",65.9
"전라남도","2011",62.7
"전라남도","2012",62.1
"전라남도","2013",59.0
"전라남도","2014",58.5
"전라남도","2015",59.6
"전라남도","2016",54.9
"전라남도","2017",57.0
"전라남도","2018",61.5
"전라남도","2019",60.9
"전라남도","2020",58.1
"전라남도","2021",66.5
"전라남도","2022",67.6
"전라남도","2023",67.3
"경상북도","2009",74.0
"경상북도","2010",70.0
"경상북도","2011",68.5
"경상북도","2012",67.6
"경상북도","2013",64.3
"경상북도","2014",64.5
"경상북도","2015",64.5
"경상북도","2016",64.0
"경상북도","2017",67.3
"경상북도","2018",67.7
"경상북도","2019",69.7
"경상북도","2020",60.5
"경상북도","2021",71.8
"경상북도","2022",72.8
"경상북도","2023",73.8
"경상남도","2009",75.6
"경상남도","2010",73.6
"경상남도","2011",69.4
"경상남도","2012",68.6
"경상남도","2013",67.3
"경상남도","2014",67.1
"경상남도","2015",66.9
"경상남도","2016",65.2
"경상남도","2017",70.0
"경상남도","2018",70.3
"경상남도","2019",72.0
"경상남도","2020",64.8
"경상남도","2021",72.7
"경상남도","2022",75.3
"경상남도","2023",74.9
"제주특별자치도","2009",68.7
"제주특별자치도","2010",70.0
"제주특별자치도","2011",68.5
"제주특별자치도","2012",66.5
"제주특별자치도","2013",64.4
"제주특별자치도","2014",63.3
"제주특별자치도","2015",64.2
"제주특별자치도","2016",64.6
"제주특별자치도","2017",66.3
"제주특별자치도","2018",68.4
"제주특별자치도","2019",72.1
"제주특별자치도","2020",66.9
"제주특별자치도","2021",72.7
"제주특별자치도","2022",73.3
"제주특별자치도","2023",74.8
